cut_id,part,qty,rough_dimensions_in,final_dimensions_in,material,orientation,operation,tolerance_in,yield_or_offcut,notes
OCA-CUT-001,Master body upper half (3D-printed),1,4.50 x 3.50 x 2.50 envelope,master scale = 1/(1-shrinkage); for 12% shrinkage = 1.136x fired body,PLA or sealable resin,X along mouthpiece axis; Z up; mark split-line and chamber datum,"Print, sand layer lines, fill voids, seal/sand, sign with build ID",+/-0.010,Save offcut sprues for shrinkage coupons,Master scale factor must be re-derived from MEASURED clay shrinkage before final master.
OCA-CUT-002,Master body lower half (3D-printed),1,4.50 x 3.50 x 2.50 envelope,mirror of OCA-CUT-001,PLA or sealable resin,X along mouthpiece axis; Z up; mark split-line,"Print, sand, fill, seal",+/-0.010,Reuse offcut sprues for shrinkage coupons,Same scale factor as OCA-CUT-001.
OCA-CUT-003,Wooden cottle boards (mold making),4,8 x 6 x 0.75 each,7.50 x 5.50 x 0.75 each,Melamine-faced MDF or sealed plywood,Smooth face inward; mark inner clamping zone,"Cut, edge-seal, drill clamping holes",+/-0.030,One sheet of 24 x 18 x 0.75 yields all 4,Clean parting wax/release before each pour.
OCA-CUT-004,Plaster mother mold half (poured),2,7.50 x 5.50 x 2.00 each,7.50 x 5.50 x 1.50-1.75 each (around master),USG #1 pottery plaster (or equiv.),Pour with master keyed to first half; second half over registration,"Mix to 73:100 water:plaster (by weight); 2-min slake; pour around sealed master",+/-0.060,Trim spew/edge after demold; recover small offcuts as test slabs,Min 1.50 in plaster around master where practical for stiffness.
OCA-CUT-005,Greenware vessel (slip-cast),1 per pour,~3.95 x 3.07 x 2.20 (master cavity wet),~3.50 x 2.72 x 1.95 fired (12% shrink),Cone 6 stoneware casting slip,Mouthpiece axis along master split,Slip pour > drain at target wall (~0.16 in / 0.4 cm) > demold leather-hard,N/A (process-controlled),Reuse demold trim/fettling waste as slip recycle,Wall thickness drives drying time and tap tone — measure on noncritical trim.
OCA-CUT-006,Voicing window cut (leather-hard),1,N/A,0.354 x 0.197 (window W x H = 0.9 x 0.5 cm per design),Cone 6 greenware,Cut perpendicular to mouthpiece axis,"Score, lift, clean labium edge with rib",+/-0.010,N/A,Cut undersized; tune by enlarging at bisque tuning step.
OCA-CUT-007,Finger holes (12-hole layout — leather-hard),12,N/A,0.16-0.31 dia each (start undersized; see design table OCA-DRW-005),Cone 6 greenware,Per fingering chart row D40:F51 of design table,Brass tube cutter or hole punch; clean burr with damp finger,+/-0.010 (start),N/A,All 12 holes start at design-table 'minimum' diameter; enlarge at tuning.
OCA-CUT-008,Post-bisque tuning trim,as needed,N/A,Within +/-25 cents of target frequency per validation.csv,Bisqued ceramic,N/A,Diamond needle file or fine diamond burr in steps,+/-0.005 dimensional; +/-25 cents acoustic,Diamond burr offcuts are kiln dust — bag and discard,Document each enlarge step on validation row.
OCA-CUT-009,Wax resist mask (pre-glaze),1 application,N/A,~0.020 in dry film over voicing window + all 12 holes + interior,Brushable wax resist,N/A,Brush-apply; dry per supplier; check all openings clear,Visual,N/A,Mask all acoustic edges to keep glaze out of windway and holes.
OCA-CUT-010,Glaze application (exterior only),1 application,N/A,~0.005-0.010 in per coat; 1-2 coats exterior,Cone 6 satin or matte glaze,Avoid waxed regions,Dip / brush / spray exterior only,+/-0.005 (visual),N/A,Glaze in voicing window or holes will detune the instrument.
